Site,year,Month,DateDay,SumOfKwh,Level,Meter
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,4529.00,L2 & L3 N,271) L2 Core 2 Tenant N Riser BD/TNW2L(P)/L2
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2820.00,L2 & L3 N,272) L2 Core 1 Tenant NE Riser BD/TNE1L/L2
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2373.00,L2 & L3 N,273) L2 Core 1 Tenant SE Riser BD/TSE1L/L2
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2791.00,L2 & L3 N,274) L2 Core 3 Tenant SW Riser BD/TSW2L/L2
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,0.00,L2 & L3 N,77) L2 Core 1 Tenant SW Riser BD/TSW1L/L2
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2565.00,L2 & L3 N,Central (Landlord's) Air Handling kWh
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,15921.00,L2 & L3 N,Central (Landlord's) Chillers/Pumps kWh:
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,3456.00,L2 & L3 N,Central (Landlord's) Misc Plant/Equipment kWh
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,6265.00,L2 & L3 N,Common Area
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1570.00,L2 & L3 N,i) 258) L3 Core 1 Tenant NW Riser BD/TNW1L/L3
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2119.00,Level 10,0) L10 Core 1 Tenant NW Riser BD/TNW1P/L10 & New
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,0.00,Level 10,0) L10 Core 1 Tenant SW Riser BD/TSW1P/L10 & New
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,7741.00,Level 10,0) L10 Core 2 Comms supply & New
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1617.00,Level 10,0) L10 Core 2 Tenant N Riser BD/TNW2P/L10 & New
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1770.00,Level 10,191) L10 Core 1 Tenant NW Riser BD/TNW1L/L10
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,3349.00,Level 10,194) L10 Core 2 Tenant N Riser BD/TNW2L/L10
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1458.00,Level 10,195) L10 Core 1 Tenant NE Riser BD/TNE1L/L10
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1359.00,Level 10,196) L10 Core 1 Tenant SE Riser BD/TSE1L/L10
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1618.00,Level 10,199) L10 Core 1 Tenant SW Riser BD/TSW1L/L10
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1005.00,Level 10,Central (Landlord's) Air Handling kWh
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,5414.00,Level 10,Central (Landlord's) Chillers/Pumps kWh:
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1439.00,Level 10,Central (Landlord's) Misc Plant/Equipment kWh
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,2455.00,Level 10,Common Area
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2296.00,GMez & L1 - NBC CSG,0) GF Core 1 Tenant NE Riser BD/TNEL/1GL
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3089.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NE Riser BD/TNE1P/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,5878.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NW Riser BD/TNW1P/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2894.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SE Riser BD/TSE1P/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2975.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SW Riser BD/TSW1P/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3725.00,GMez & L1 - NBC CSG,0) L1 Core 2 Tenant N Riser BD/TNW2L/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3560.00,GMez & L1 - NBC CSG,0) L1 Core 3 Tenant SW Riser BD/TSW2L/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,1864.00,GMez & L1 - NBC CSG,131) A17 LV3 Spare DB/B2/IT
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,89106.00,GMez & L1 - NBC CSG,142) A6 LV3 NBC MER I/O Panel (Spare)
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3017.00,GMez & L1 - NBC CSG,278) L1 Core 1 Tenant NW Riser BD/TNW1L/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,4592.00,GMez & L1 - NBC CSG,281) L1 Core 2 Tenant N Riser BD/TNW2L(P)/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3369.00,GMez & L1 - NBC CSG,282) L1 Core 1 Tenant NE Riser BD/TNE1L/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2832.00,GMez & L1 - NBC CSG,283) L1 Core 1 Tenant SE Riser BD/TSE1L/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2315.00,GMez & L1 - NBC CSG,284) L1 Core 3 Tenant SW Riser BD/TSW2L(P)/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,6818.00,GMez & L1 - NBC CSG,287) L1 Core 1 Tenant SW Riser BD/TSW1L/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2786.00,GMez & L1 - NBC CSG,293) GF Core 1 Tenant NE Riser BD/TNEL/1PG__
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,863.00,GMez & L1 - NBC CSG,294) GF Core 1 Tenant SE Riser BD/TSEL/__
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3031.00,GMez & L1 - NBC CSG,Central (Landlord's) Air Handling
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,47035.00,GMez & L1 - NBC CSG,Central (Landlord's) Chillers/Pumps
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2343.00,GMez & L1 - NBC CSG,Central (Landlord's) Misc Plant/Equipment
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,5839.00,GMez & L1 - NBC CSG,Common Area
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2172.00,L2 & L3 N,0) L2 Core 1 Tenant NE Riser BD/TNE1P/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3573.00,L2 & L3 N,0) L2 Core 1 Tenant NW Riser BD/TNW1P/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2468.00,L2 & L3 N,0) L2 Core 1 Tenant SE Riser BD/TSE1P/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3739.00,L2 & L3 N,0) L2 Core 1 Tenant SW Riser BD/TSW1P/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,281.00,L2 & L3 N,0) L2 Core 2 Tenant N Riser BD/TNW2L/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3577.00,L2 & L3 N,0) L2 Core 3 Tenant SW Riser BD/TSW2P/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,880.00,L2 & L3 N,0) L3 Core 1 Tenant NE Riser BD/TNE1L/L3
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2836.00,L2 & L3 N,0) L3 Core 1 Tenant NW Riser BD/TNW1P/L3 new
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3858.00,L2 & L3 N,0) L3 Core 1 Tenant NW Riser DB dub new
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,5423.00,L2 & L3 N,0) L3 Core 2 Tenant N Riser BD/TNW2L/L1
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3997.00,L2 & L3 N,0) L3 Core 2 Tenant NW2 Riser BD/P
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,5192.00,L2 & L3 N,261) L3 Core 2 Tenant N Riser BD/TNW2L(P)/L3
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2886.00,L2 & L3 N,262) L3 Core 1 Tenant NE Riser BD/TNE1L/L3 new
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3495.00,L2 & L3 N,268) L2 Core 1 Tenant NW Riser BD/TNW1L/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,5013.00,L2 & L3 N,271) L2 Core 2 Tenant N Riser BD/TNW2L(P)/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3311.00,L2 & L3 N,272) L2 Core 1 Tenant NE Riser BD/TNE1L/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2739.00,L2 & L3 N,273) L2 Core 1 Tenant SE Riser BD/TSE1L/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,2834.00,L2 & L3 N,274) L2 Core 3 Tenant SW Riser BD/TSW2L/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3160.00,L2 & L3 N,77) L2 Core 1 Tenant SW Riser BD/TSW1L/L2
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,4256.00,L2 & L3 N,Central (Landlord's) Air Handling kWh
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,20870.00,L2 & L3 N,Central (Landlord's) Chillers/Pumps kWh:
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3463.00,L2 & L3 N,Central (Landlord's) Misc Plant/Equipment kWh
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,8199.00,L2 & L3 N,Common Area
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,1568.00,L2 & L3 N,i) 258) L3 Core 1 Tenant NW Riser BD/TNW1L/L3
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,1977.00,Level 10,0) L10 Core 1 Tenant NW Riser BD/TNW1P/L10 & New
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,0.00,Level 10,0) L10 Core 1 Tenant SW Riser BD/TSW1P/L10 & New
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,8024.00,Level 10,0) L10 Core 2 Comms supply & New
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,1050.00,Level 10,0) L10 Core 2 Tenant N Riser BD/TNW2P/L10 & New
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,1636.00,Level 10,191) L10 Core 1 Tenant NW Riser BD/TNW1L/L10
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,1959.00,Level 10,194) L10 Core 2 Tenant N Riser BD/TNW2L/L10
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,1544.00,Level 10,195) L10 Core 1 Tenant NE Riser BD/TNE1L/L10
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,1544.00,Level 10,196) L10 Core 1 Tenant SE Riser BD/TSE1L/L10
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,1156.00,Level 10,199) L10 Core 1 Tenant SW Riser BD/TSW1L/L10
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,1667.00,Level 10,Central (Landlord's) Air Handling kWh
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,6258.00,Level 10,Central (Landlord's) Chillers/Pumps kWh:
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,1438.00,Level 10,Central (Landlord's) Misc Plant/Equipment kWh
NBC Universal - St Giles High Street,17,Jun,1/6/2017 00:00:00,3213.00,Level 10,Common Area
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2245.00,GMez & L1 - NBC CSG,0) GF Core 1 Tenant NE Riser BD/TNEL/1GL
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1762.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NE Riser BD/TNE1P/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,5790.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NW Riser BD/TNW1P/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2478.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SE Riser BD/TSE1P/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3285.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SW Riser BD/TSW1P/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3801.00,GMez & L1 - NBC CSG,0) L1 Core 2 Tenant N Riser BD/TNW2L/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3238.00,GMez & L1 - NBC CSG,0) L1 Core 3 Tenant SW Riser BD/TSW2L/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1850.00,GMez & L1 - NBC CSG,131) A17 LV3 Spare DB/B2/IT
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,81539.00,GMez & L1 - NBC CSG,142) A6 LV3 NBC MER I/O Panel (Spare)
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,686.00,GMez & L1 - NBC CSG,278) L1 Core 1 Tenant NW Riser BD/TNW1L/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,4676.00,GMez & L1 - NBC CSG,281) L1 Core 2 Tenant N Riser BD/TNW2L(P)/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2997.00,GMez & L1 - NBC CSG,282) L1 Core 1 Tenant NE Riser BD/TNE1L/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2441.00,GMez & L1 - NBC CSG,283) L1 Core 1 Tenant SE Riser BD/TSE1L/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2143.00,GMez & L1 - NBC CSG,284) L1 Core 3 Tenant SW Riser BD/TSW2L(P)/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3603.00,GMez & L1 - NBC CSG,287) L1 Core 1 Tenant SW Riser BD/TSW1L/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3616.00,GMez & L1 - NBC CSG,293) GF Core 1 Tenant NE Riser BD/TNEL/1PG__
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,967.00,GMez & L1 - NBC CSG,294) GF Core 1 Tenant SE Riser BD/TSEL/__
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2208.00,GMez & L1 - NBC CSG,Central (Landlord's) Air Handling
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,46191.00,GMez & L1 - NBC CSG,Central (Landlord's) Chillers/Pumps
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2310.00,GMez & L1 - NBC CSG,Central (Landlord's) Misc Plant/Equipment
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,6151.00,GMez & L1 - NBC CSG,Common Area
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2015.00,L2 & L3 N,0) L2 Core 1 Tenant NE Riser BD/TNE1P/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3533.00,L2 & L3 N,0) L2 Core 1 Tenant NW Riser BD/TNW1P/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1978.00,L2 & L3 N,0) L2 Core 1 Tenant SE Riser BD/TSE1P/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,4217.00,L2 & L3 N,0) L2 Core 1 Tenant SW Riser BD/TSW1P/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,270.00,L2 & L3 N,0) L2 Core 2 Tenant N Riser BD/TNW2L/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3220.00,L2 & L3 N,0) L2 Core 3 Tenant SW Riser BD/TSW2P/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1307.00,L2 & L3 N,0) L3 Core 1 Tenant NE Riser BD/TNE1L/L3
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2888.00,L2 & L3 N,0) L3 Core 1 Tenant NW Riser BD/TNW1P/L3 new
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,4014.00,L2 & L3 N,0) L3 Core 1 Tenant NW Riser DB dub new
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,5362.00,L2 & L3 N,0) L3 Core 2 Tenant N Riser BD/TNW2L/L1
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3906.00,L2 & L3 N,0) L3 Core 2 Tenant NW2 Riser BD/P
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,5142.00,L2 & L3 N,261) L3 Core 2 Tenant N Riser BD/TNW2L(P)/L3
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3039.00,L2 & L3 N,262) L3 Core 1 Tenant NE Riser BD/TNE1L/L3 new
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3365.00,L2 & L3 N,268) L2 Core 1 Tenant NW Riser BD/TNW1L/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,4731.00,L2 & L3 N,271) L2 Core 2 Tenant N Riser BD/TNW2L(P)/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2983.00,L2 & L3 N,272) L2 Core 1 Tenant NE Riser BD/TNE1L/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2340.00,L2 & L3 N,273) L2 Core 1 Tenant SE Riser BD/TSE1L/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2614.00,L2 & L3 N,274) L2 Core 3 Tenant SW Riser BD/TSW2L/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3840.00,L2 & L3 N,77) L2 Core 1 Tenant SW Riser BD/TSW1L/L2
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3100.00,L2 & L3 N,Central (Landlord's) Air Handling kWh
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,22624.00,L2 & L3 N,Central (Landlord's) Chillers/Pumps kWh:
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3421.00,L2 & L3 N,Central (Landlord's) Misc Plant/Equipment kWh
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,8637.00,L2 & L3 N,Common Area
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1498.00,L2 & L3 N,i) 258) L3 Core 1 Tenant NW Riser BD/TNW1L/L3
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1827.00,Level 10,0) L10 Core 1 Tenant NW Riser BD/TNW1P/L10 & New
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,2366.00,Level 10,0) L10 Core 1 Tenant SW Riser BD/TSW1P/L10 & New
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,843.00,Level 10,0) L10 Core 2 Comms supply & New
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1012.00,Level 10,0) L10 Core 2 Tenant N Riser BD/TNW2P/L10 & New
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1508.00,Level 10,191) L10 Core 1 Tenant NW Riser BD/TNW1L/L10
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1824.00,Level 10,194) L10 Core 2 Tenant N Riser BD/TNW2L/L10
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1292.00,Level 10,195) L10 Core 1 Tenant NE Riser BD/TNE1L/L10
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1260.00,Level 10,196) L10 Core 1 Tenant SE Riser BD/TSE1L/L10
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1226.00,Level 10,199) L10 Core 1 Tenant SW Riser BD/TSW1L/L10
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1215.00,Level 10,Central (Landlord's) Air Handling kWh
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,4781.00,Level 10,Central (Landlord's) Chillers/Pumps kWh:
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,1425.00,Level 10,Central (Landlord's) Misc Plant/Equipment kWh
NBC Universal - St Giles High Street,17,Jul,1/7/2017 00:00:00,3384.00,Level 10,Common Area
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2633.00,GMez & L1 - NBC CSG,0) GF Core 1 Tenant NE Riser BD/TNEL/1GL
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2479.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NE Riser BD/TNE1P/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,5820.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NW Riser BD/TNW1P/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2841.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SE Riser BD/TSE1P/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3502.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SW Riser BD/TSW1P/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,4137.00,GMez & L1 - NBC CSG,0) L1 Core 2 Tenant N Riser BD/TNW2L/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3429.00,GMez & L1 - NBC CSG,0) L1 Core 3 Tenant SW Riser BD/TSW2L/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,1865.00,GMez & L1 - NBC CSG,131) A17 LV3 Spare DB/B2/IT
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,85358.00,GMez & L1 - NBC CSG,142) A6 LV3 NBC MER I/O Panel (Spare)
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,4864.00,GMez & L1 - NBC CSG,278) L1 Core 1 Tenant NW Riser BD/TNW1L/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,5249.00,GMez & L1 - NBC CSG,281) L1 Core 2 Tenant N Riser BD/TNW2L(P)/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3349.00,GMez & L1 - NBC CSG,282) L1 Core 1 Tenant NE Riser BD/TNE1L/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2799.00,GMez & L1 - NBC CSG,283) L1 Core 1 Tenant SE Riser BD/TSE1L/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2160.00,GMez & L1 - NBC CSG,284) L1 Core 3 Tenant SW Riser BD/TSW2L(P)/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,4009.00,GMez & L1 - NBC CSG,287) L1 Core 1 Tenant SW Riser BD/TSW1L/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,1598.00,GMez & L1 - NBC CSG,293) GF Core 1 Tenant NE Riser BD/TNEL/1PG__
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,802.00,GMez & L1 - NBC CSG,294) GF Core 1 Tenant SE Riser BD/TSEL/__
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2358.00,GMez & L1 - NBC CSG,Central (Landlord's) Air Handling
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,38249.00,GMez & L1 - NBC CSG,Central (Landlord's) Chillers/Pumps
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2177.00,GMez & L1 - NBC CSG,Central (Landlord's) Misc Plant/Equipment
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,7728.00,GMez & L1 - NBC CSG,Common Area
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2244.00,L2 & L3 N,0) L2 Core 1 Tenant NE Riser BD/TNE1P/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3865.00,L2 & L3 N,0) L2 Core 1 Tenant NW Riser BD/TNW1P/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2294.00,L2 & L3 N,0) L2 Core 1 Tenant SE Riser BD/TSE1P/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,4337.00,L2 & L3 N,0) L2 Core 1 Tenant SW Riser BD/TSW1P/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,303.00,L2 & L3 N,0) L2 Core 2 Tenant N Riser BD/TNW2L/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3327.00,L2 & L3 N,0) L2 Core 3 Tenant SW Riser BD/TSW2P/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,1172.00,L2 & L3 N,0) L3 Core 1 Tenant NE Riser BD/TNE1L/L3
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2948.00,L2 & L3 N,0) L3 Core 1 Tenant NW Riser BD/TNW1P/L3 new
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3931.00,L2 & L3 N,0) L3 Core 1 Tenant NW Riser DB dub new
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,5802.00,L2 & L3 N,0) L3 Core 2 Tenant N Riser BD/TNW2L/L1
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3955.00,L2 & L3 N,0) L3 Core 2 Tenant NW2 Riser BD/P
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,5643.00,L2 & L3 N,261) L3 Core 2 Tenant N Riser BD/TNW2L(P)/L3
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3281.00,L2 & L3 N,262) L3 Core 1 Tenant NE Riser BD/TNE1L/L3 new
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3404.00,L2 & L3 N,268) L2 Core 1 Tenant NW Riser BD/TNW1L/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,5661.00,L2 & L3 N,271) L2 Core 2 Tenant N Riser BD/TNW2L(P)/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3517.00,L2 & L3 N,272) L2 Core 1 Tenant NE Riser BD/TNE1L/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2698.00,L2 & L3 N,273) L2 Core 1 Tenant SE Riser BD/TSE1L/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,2602.00,L2 & L3 N,274) L2 Core 3 Tenant SW Riser BD/TSW2L/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,4217.00,L2 & L3 N,77) L2 Core 1 Tenant SW Riser BD/TSW1L/L2
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3311.00,L2 & L3 N,Central (Landlord's) Air Handling kWh
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,18639.00,L2 & L3 N,Central (Landlord's) Chillers/Pumps kWh:
NBC Universal - St Giles High Street,17,Aug,1/8/2017 00:00:00,3230.00,L2 & L3 N,Central (Landlord's) Misc Plant/Equipment kWh
