Site,Level,Meter,DateDay,kWh
1,L2 & L3 N,0) L2 Core 1 Tenant SE Riser BD/TSE1P/L2,1/4/2017 00:00:00,2126
1,Level 10,Central (Landlord's) Air Handling kWh,1/4/2017 00:00:00,1031
1,L2 & L3 N,Common Area,1/4/2017 00:00:00,12600
1,L2 & L3 N,0) L2 Core 1 Tenant NE Riser BD/TNE1P/L2,1/4/2017 00:00:00,1941
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NW Riser BD/TNW1P/L1,1/4/2017 00:00:00,4812
1,L2 & L3 N,0) L2 Core 2 Tenant N Riser BD/TNW2L/L2,1/4/2017 00:00:00,267
1,L2 & L3 N,271) L2 Core 2 Tenant N Riser BD/TNW2L(P)/L2,1/4/2017 00:00:00,4483
1,L2 & L3 N,0) L2 Core 1 Tenant NW Riser BD/TNW1P/L2,1/4/2017 00:00:00,3748
1,L2 & L3 N,268) L2 Core 1 Tenant NW Riser BD/TNW1L/L2,1/4/2017 00:00:00,2989
1,L2 & L3 N,262) L3 Core 1 Tenant NE Riser BD/TNE1L/L3 "new",1/4/2017 00:00:00,0
1,L2 & L3 N,0) L3 Core 1 Tenant NE Riser BD/TNE1L/L3,1/4/2017 00:00:00,860
1,L2 & L3 N,273) L2 Core 1 Tenant SE Riser BD/TSE1L/L2,1/4/2017 00:00:00,2166
1,L2 & L3 N,0) L3 Core 2 Tenant NW2 Riser BD/P,1/4/2017 00:00:00,2927
1,L2 & L3 N,i) 258) L3 Core 1 Tenant NW Riser BD/TNW1L/L3,1/4/2017 00:00:00,1447
1,Level 10,Central (Landlord's) Misc Plant/Equipment kWh,1/4/2017 00:00:00,1259
1,L2 & L3 N,0) L3 Core 1 Tenant NW Riser DB dub new,1/4/2017 00:00:00,3409
1,L2 & L3 N,0) L3 Core 1 Tenant NW Riser BD/TNW1P/L3 new,1/4/2017 00:00:00,2528
1,L2 & L3 N,Central (Landlord's) Chillers/Pumps kWh:,1/4/2017 00:00:00,12855
1,L2 & L3 N,0) L3 Core 2 Tenant N Riser BD/TNW2L/L1,1/4/2017 00:00:00,4514
1,Level 10,0) L10 Core 1 Tenant SW Riser BD/TSW1P/L10 & New,1/4/2017 00:00:00,0
1,Level 10,199) L10 Core 1 Tenant SW Riser BD/TSW1L/L10,1/4/2017 00:00:00,1021
1,Level 10,195) L10 Core 1 Tenant NE Riser BD/TNE1L/L10,1/4/2017 00:00:00,1035
1,Level 10,191) L10 Core 1 Tenant NW Riser BD/TNW1L/L10,1/4/2017 00:00:00,1177
1,Level 10,0) L10 Core 2 Tenant N Riser BD/TNW2P/L10 & New,1/4/2017 00:00:00,1071
1,Level 10,0) L10 Core 2 Comms supply & New,1/4/2017 00:00:00,9162
1,Level 10,194) L10 Core 2 Tenant N Riser BD/TNW2L/L10,1/4/2017 00:00:00,0
1,Level 10,0) L10 Core 1 Tenant NW Riser BD/TNW1P/L10 & New,1/4/2017 00:00:00,1222
1,Level 10,196) L10 Core 1 Tenant SE Riser BD/TSE1L/L10,1/4/2017 00:00:00,940
1,L2 & L3 N,0) L3 Core 1 Tenant NW Riser DB dub new,1/5/2017 00:00:00,3959
1,L2 & L3 N,268) L2 Core 1 Tenant NW Riser BD/TNW1L/L2,1/5/2017 00:00:00,3415
1,L2 & L3 N,262) L3 Core 1 Tenant NE Riser BD/TNE1L/L3 "new",1/5/2017 00:00:00,8070
1,L2 & L3 N,0) L3 Core 1 Tenant NE Riser BD/TNE1L/L3,1/5/2017 00:00:00,1021
1,L2 & L3 N,261) L3 Core 2 Tenant N Riser BD/TNW2L(P)/L3,1/5/2017 00:00:00,4637
1,L2 & L3 N,0) L3 Core 2 Tenant NW2 Riser BD/P,1/5/2017 00:00:00,3247
1,L2 & L3 N,0) L3 Core 2 Tenant N Riser BD/TNW2L/L1,1/5/2017 00:00:00,4969
1,L2 & L3 N,i) 258) L3 Core 1 Tenant NW Riser BD/TNW1L/L3,1/5/2017 00:00:00,1570
1,L2 & L3 N,0) L3 Core 1 Tenant NW Riser BD/TNW1P/L3 new,1/5/2017 00:00:00,2862
1,L2 & L3 N,77) L2 Core 1 Tenant SW Riser BD/TSW1L/L2,1/5/2017 00:00:00,0
1,L2 & L3 N,Central (Landlord's) Misc Plant/Equipment kWh,1/5/2017 00:00:00,3456
1,L2 & L3 N,Central (Landlord's) Air Handling kWh,1/5/2017 00:00:00,2565
1,L2 & L3 N,Central (Landlord's) Chillers/Pumps kWh:,1/5/2017 00:00:00,15921
1,L2 & L3 N,0) L2 Core 1 Tenant NW Riser BD/TNW1P/L2,1/5/2017 00:00:00,2685
1,L2 & L3 N,271) L2 Core 2 Tenant N Riser BD/TNW2L(P)/L2,1/5/2017 00:00:00,4529
1,L2 & L3 N,0) L2 Core 2 Tenant N Riser BD/TNW2L/L2,1/5/2017 00:00:00,280
1,L2 & L3 N,272) L2 Core 1 Tenant NE Riser BD/TNE1L/L2,1/5/2017 00:00:00,2820
1,L2 & L3 N,0) L2 Core 1 Tenant NE Riser BD/TNE1P/L2,1/5/2017 00:00:00,2067
1,Level 10,0) L10 Core 1 Tenant SW Riser BD/TSW1P/L10 & New,1/5/2017 00:00:00,0
1,L2 & L3 N,274) L2 Core 3 Tenant SW Riser BD/TSW2L/L2,1/5/2017 00:00:00,2791
1,L2 & L3 N,0) L2 Core 1 Tenant SW Riser BD/TSW1P/L2,1/5/2017 00:00:00,4643
